index,psnr
1090,6.3696
1091,6.8203
1092,7.5812
1093,8.7217
1094,9.5640
1095,10.0198
1096,7.7009
1097,8.9437
1098,10.5512
1099,10.9982
1100,9.4226
1101,9.2253
1102,9.0654
1103,8.8029
1104,8.7923
1105,8.4116
1106,8.1828
1107,7.3532
1108,7.1166
1109,6.7777
1110,6.2253
1111,6.0069
1112,5.4965
1113,4.9984
1114,4.9069
1115,4.6732
1116,4.9104
1117,5.4106
1118,6.9965
1119,6.7864
1120,7.0821
1121,8.7132
1122,8.9036
1123,7.8345
1124,7.0625
1125,6.4978
1126,5.9579
1127,5.8858
1128,5.9373
1129,5.9851
1130,6.1948
1131,6.5169
1132,6.6840
1133,7.0948
1134,7.3320
1135,7.4888
1136,9.5677
1137,4.4839
1138,3.6507
1139,3.9958
1140,4.4271
1141,4.6287
1142,4.6653
1143,4.4611
1144,4.6140
1145,4.9712
1146,5.5455
1147,11.5754
1148,11.9535
1149,12.1855
1150,12.3389
1151,11.8820
1152,11.8539
1153,11.4674
1154,12.0034
1155,12.6404
1156,13.0342
1157,13.0140
1158,12.1511
1159,12.3938
1160,14.5596
1161,13.6038
1162,14.6967
1163,11.4535
1164,10.7401
1165,10.7501
1166,10.9146
1167,11.0550
1168,11.5413
1169,11.0035
1170,10.7682
1171,11.3620
1172,12.5884
1173,12.5671
1174,11.4121
1175,10.9078
1176,11.4361
1177,11.1821
1178,10.0838
1179,10.2001
1180,11.5426
1181,10.5923
1182,10.5357
1183,11.9802
1184,7.4709
1185,7.3060
1186,7.3830
1187,7.3325
1188,6.7710
1189,6.8453
1190,5.8687
1191,4.6352
1192,4.3689
1193,4.4884
1194,4.6025
1195,4.9789
1196,4.3345
1197,4.0078
1198,5.4097
1199,6.0355
1200,7.4488
1201,8.0291
1202,7.4066
1203,7.1986
1204,5.8646
1205,6.1928
1206,5.1136
1207,5.9127
1208,7.7908
1209,7.9118
1210,6.7652
1211,6.3829
1212,6.9897
1213,7.8512
1214,7.4297
1215,7.5002
1216,6.8338
1217,7.7147
1218,7.4067
1219,7.4504
1220,5.6907
1221,12.9370
1222,13.6107
1223,14.4787
1224,13.2641
1225,12.6648
1226,12.7500
1227,13.4477
1228,14.4145
1229,13.2263
1230,12.0222
1231,12.8156
1232,12.1501
1233,12.4968
1234,11.8138
1235,11.7319
1236,11.4686
1237,11.6517
1238,10.3519
1239,11.9365
1240,11.9412
1241,10.4180
1242,12.1629
1243,13.6594
1244,13.7140
1245,13.7312
1246,12.4669
1247,12.7054
1248,11.2630
1249,10.8990
1250,10.8810
1251,10.5960
1252,8.9843
1253,11.0937
1254,12.9279
1255,14.1003
1256,14.0249
1257,13.0869
1258,7.5944
1259,6.7427
1260,5.9432
1261,7.4169
1262,10.8648
1263,10.5360
1264,9.6565
1265,8.2091
1266,9.8385
1267,10.4858
1268,9.3473
1269,8.9463
1270,7.8481
1271,7.2123
1272,7.0628
1273,7.1648
1274,7.4811
1275,8.7420
1276,9.1551
1277,8.3255
1278,8.4416
1279,8.6715
1280,7.1600
1281,6.0732
1282,5.3488
1283,5.1302
1284,5.3519
1285,5.3029
1286,5.8416
1287,5.6937
1288,5.2535
1289,4.8884
1290,5.3082
1291,5.4870
1292,9.0557
1293,9.8482
1294,7.8812
1295,8.9371
1296,8.6647
1297,8.3775
1298,8.3386
1299,8.5099
1300,8.3237
1301,8.4065
1302,8.6170
1303,8.8762
1304,8.6495
1305,8.3524
1306,7.1100
1307,5.9826
1308,5.3447
1309,5.3247
1310,5.2875
1311,4.8110
1312,5.1406
1313,5.0173
1314,5.4676
1315,5.9084
1316,6.4945
1317,7.1780
1318,7.3470
1319,7.8346
1320,8.8282
1321,8.7303
1322,8.9086
1323,9.4072
1324,9.1971
1325,9.3861
1326,9.1675
1327,8.3849
1328,7.8298
1329,7.4487
1330,7.0469
1331,7.5295
1332,10.2242
1333,10.1352
1334,9.7800
1335,8.5009
1336,7.5079
1337,6.9385
1338,8.6335
1339,9.2112
1340,8.1165
1341,5.5601
1342,3.6765
1343,3.5408
1344,3.5054
1345,2.9751
1346,3.2760
1347,4.0291
1348,5.5038
1349,6.6164
1350,7.0169
1351,7.3226
1352,7.4632
1353,7.6281
1354,7.3507
1355,6.8457
1356,6.4618
1357,6.1779
1358,6.6954
1359,7.6464
1360,8.2925
1361,8.4656
1362,8.7974
1363,9.0546
1364,8.1982
1365,8.0645
1366,8.5365
1367,8.7742
1368,9.2336
1369,4.0887
1370,2.6479
1371,2.5658
1372,2.7042
1373,2.8647
1374,3.3648
1375,3.6889
1376,3.9991
1377,4.0888
1378,4.2541
1379,4.3802
1380,4.7044
1381,4.9637
1382,5.4409
1383,6.3852
1384,7.4601
1385,8.5299
1386,8.5849
1387,9.0613
1388,8.7479
1389,7.7223
1390,6.9847
1391,6.3350
1392,5.9740
1393,5.9207
1394,5.4249
1395,5.0964
1396,4.9240
1397,4.7803
1398,4.6596
1399,4.5942
1400,4.3395
1401,4.1644
1402,4.0581
1403,4.2966
1404,6.1698
1405,8.1856
1406,5.0187
1407,5.3222
1408,6.0562
1409,5.4905
1410,5.7286
1411,7.5154
1412,9.4604
1413,8.1521
1414,6.0878
1415,4.5717
1416,6.4375
1417,6.8709
1418,7.3340
1419,7.3776
1420,6.3306
1421,6.5373
1422,6.6388
1423,6.9296
1424,6.8993
1425,7.1353
1426,7.3560
1427,6.2151
1428,5.1135
1429,5.5116
1430,5.0880
1431,6.4509
1432,6.1170
1433,5.8000
1434,4.9326
1435,4.6856
1436,5.3224
1437,5.7791
1438,5.8040
1439,5.8563
1440,5.5821
1441,6.4643
1442,6.8439
1443,7.3796
1444,7.3495
1445,5.9437
1446,5.0220
1447,5.7851
1448,9.2288
1449,10.1824
1450,10.0883
1451,9.2640
1452,6.9276
1453,5.8916
1454,5.8894
1455,5.6810
1456,5.5308
1457,5.7663
1458,5.3423
1459,5.5691
1460,5.4822
1461,5.4768
1462,3.6213
1463,3.4131
1464,2.5348
1465,3.5918
1466,4.2342
1467,4.5900
1468,4.4848
1469,4.0504
1470,4.6065
1471,4.6910
1472,4.6388
1473,4.7978
1474,4.8026
1475,5.4855
1476,4.6842
1477,4.4612
1478,4.6103
1479,5.5257
1480,7.4244
1481,6.6106
1482,6.1955
1483,5.2906
1484,5.6801
1485,7.6899
1486,8.1914
1487,9.9830
1488,10.4602
1489,8.3526
1490,4.5736
1491,5.4218
1492,8.5616
1493,8.6685
1494,9.3547
1495,8.9422
1496,9.5323
1497,8.3989
1498,5.5537
1499,4.8358
1500,4.7516
1501,5.6920
1502,6.0530
1503,5.7618
1504,4.8629
1505,5.3392
1506,6.5175
1507,8.6449
1508,7.9485
1509,7.9520
1510,7.6708
1511,9.8826
1512,9.9661
1513,9.1410
1514,6.8950
1515,6.3689
1516,10.6183
1517,4.1980
1518,4.1610
1519,4.4055
1520,4.9242
1521,5.3427
1522,5.2527
1523,5.2257
1524,4.0317
1525,4.0355
1526,3.8494
1527,2.7680
1528,2.6520
1529,2.5198
1530,2.2991
1531,2.5762
1532,2.8918
1533,4.1831
1534,5.3815
1535,5.1098
1536,4.6398
1537,3.4768
1538,3.8318
1539,2.7395
1540,2.7914
1541,3.7362
1542,3.6734
1543,5.3048
1544,6.4786
1545,5.5508
1546,4.8996
1547,4.5219
1548,4.2252
1549,3.5203
1550,3.4365
1551,3.1329
1552,4.2231
1553,3.8380
1554,3.6736
1555,4.8231
1556,7.6878
1557,9.2072
1558,8.1282
1559,8.3634
1560,8.4021
1561,7.8540
1562,7.5789
1563,8.2982
1564,8.9402
1565,9.0708
1566,9.0691
1567,9.1782
1568,11.5204
1569,12.5771
1570,13.1410
1571,13.0187
1572,12.1360
1573,13.0677
1574,13.8041
1575,12.8567
1576,11.2426
1577,9.5721
1578,10.0050
1579,9.6736
1580,9.4380
1581,9.1965
1582,9.1780
1583,9.3423
1584,9.9383
1585,10.4765
1586,10.8186
1587,10.5629
1588,10.4281
1589,10.4389
1590,9.8405
1591,6.5177
1592,6.9775
1593,9.4262
1594,9.8696
1595,9.3202
1596,7.8431
1597,5.4284
1598,4.2401
1599,3.6222
1600,3.4295
1601,3.5587
1602,3.6888
1603,4.5557
1604,5.4979
1605,6.4002
1606,6.2125
1607,6.2094
1608,5.6717
1609,5.0501
1610,5.4182
1611,6.9397
1612,8.0035
1613,6.2076
1614,5.5041
1615,5.5661
1616,4.6507
1617,4.4309
1618,4.8301
1619,5.0499
1620,5.3816
1621,5.4236
1622,5.1617
1623,4.7019
1624,4.8560
1625,4.4867
1626,5.3754
1627,5.6621
1628,3.9326
1629,3.8974
1630,3.8600
1631,3.9065
1632,4.0165
1633,4.1902
1634,3.8927
1635,3.8182
1636,3.6962
1637,3.7869
1638,3.9035
1639,3.8841
1640,3.9510
1641,3.8873
1642,3.7982
1643,3.7838
1644,3.8728
1645,4.0993
1646,4.0273
1647,3.8363
1648,3.5380
1649,3.4040
1650,3.3035
1651,3.9031
1652,4.1969
1653,4.4135
1654,4.3875
1655,4.2611
1656,4.0990
1657,3.7637
1658,3.9574
1659,3.7437
1660,3.7507
1661,3.7384
1662,3.9637
1663,4.0972
1664,4.2025
1665,9.2590
1666,9.1697
1667,9.0393
1668,9.4175
1669,9.4972
1670,8.9048
1671,9.4971
1672,8.5516
1673,9.3958
1674,9.7206
1675,9.2523
1676,8.6685
1677,8.5586
1678,8.7595
1679,8.6174
1680,7.2599
1681,5.9461
1682,4.9732
1683,5.0126
1684,5.2831
1685,5.4337
1686,5.6126
1687,5.9062
1688,6.0095
1689,6.1948
1690,6.5939
1691,7.0641
1692,7.6976
1693,8.2136
1694,9.4140
1695,10.3261
1696,10.0493
1697,9.3021
1698,10.2992
1699,9.9682
1700,9.8371
1701,9.6208
1702,5.9544
1703,6.0977
1704,6.3650
1705,5.8291
1706,6.2999
1707,7.0022
1708,7.3012
1709,6.5988
1710,9.0718
1711,8.0521
1712,8.7739
1713,8.9656
1714,7.2351
1715,6.5466
1716,6.6415
1717,6.0686
1718,5.8136
1719,5.5248
1720,5.3905
1721,5.4653
1722,5.2506
1723,5.2805
1724,4.8768
1725,5.2878
1726,6.6984
1727,7.0656
1728,6.9211
1729,7.4946
1730,6.5643
1731,7.0371
1732,8.0728
1733,7.5684
1734,7.7627
1735,8.1909
1736,8.9913
1737,7.2730
1738,9.9440
1739,6.4714
1740,8.6491
1741,8.8682
1742,8.0433
1743,8.0484
1744,9.1165
1745,9.4470
1746,7.8098
1747,8.7356
1748,8.4390
1749,7.9083
1750,6.6584
1751,7.8070
1752,6.8844
1753,6.7315
1754,8.2326
1755,9.2163
1756,8.4348
1757,7.8668
1758,9.3344
1759,11.3018
1760,11.1655
1761,8.4231
1762,7.0417
1763,7.5035
1764,9.2611
1765,8.7181
1766,8.2577
1767,8.2910
1768,6.7554
1769,6.9593
1770,7.7001
1771,5.8557
1772,7.1120
1773,6.8259
1774,8.1541
1775,7.3307
1776,8.2786
1777,7.6222
1778,6.4634
1779,6.2683
1780,6.0068
1781,5.0947
1782,6.1486
1783,8.2684
1784,8.0648
1785,9.8818
1786,10.0692
1787,8.9959
1788,8.7710
1789,9.1801
1790,9.0427
1791,5.9362
1792,5.3305
1793,5.1412
1794,5.8372
1795,5.9622
1796,5.5214
1797,5.6406
1798,7.2705
1799,9.0650
1800,9.5755
1801,11.2704
1802,13.5194
1803,8.0326
1804,7.5683
1805,6.7038
1806,6.9434
1807,6.8824
1808,6.9605
1809,6.8352
1810,7.1673
1811,8.0386
1812,8.3026
1813,5.6292
1814,5.8754
1815,6.2900
1816,6.6086
1817,6.1066
1818,6.4661
1819,5.7215
1820,5.4683
1821,5.5238
1822,5.9027
1823,5.4569
1824,4.9477
1825,4.3275
1826,3.8367
1827,3.7433
1828,2.9111
1829,2.3580
1830,2.4738
1831,2.4006
1832,3.3995
1833,5.1347
